REGION_ID,MON_YEAR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION
REG3,`Jul-15,SOUTHERN,KERALA,STATE,THERMAL,DIESEL,KSEB,KOZHIKODE DG,128,37,9
REG2,`Jul-15,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,DSPM TPS,500,344,353
REG2,`Jul-15,WESTERN,CHHATTISGARH,CENTRAL,THERMAL,COAL,NTPC Ltd.,KORBA STPS,"2,600","1,485","1,604"
REG2,`Jul-15,WESTERN,CHHATTISGARH,STATE,THERMAL,COAL,CSPGCL,KORBA-WEST TPS,"1,340",841,829
REG4,`Jul-15,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,ICCL,ICCL IMP,0,25,31
REG4,`Jul-15,EASTERN,WEST BENGAL,PRIVATE,THERMAL,COAL,CESC,NEW COSSIPORE TPS,160,0,0
REG1,`Jul-15,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,ANPARA TPS,"2,130",995,999
REG3,`Jul-15,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,DIESEL,VASAVI,B. BRIDGE D.G,200,4,0
REG1,`Jul-15,NORTHERN,DELHI,CENTRAL,THERMAL,COAL,NTPC Ltd.,BADARPUR TPS,705,333,302
REG3,`Jul-15,SOUTHERN,KARNATAKA,STATE,THERMAL,DIESEL,KPCL,YELHANKA (DG),128,0,0
REG3,`Jul-15,SOUTHERN,KERALA,STATE,THERMAL,DIESEL,KSEB,BRAMHAPURAM DG,107,4,1
REG2,`Jul-15,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,CHANDRAPUR(MAHARASHTRA) STPS,"2,840",853,940
