State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Haryana,Kaithal,2005.0,16.0,35.0,55.0,0.0,0.0,52.0,273.5,41.1,272.5,N.A.,N.A.,0.0,N.A.
Haryana,Kaithal,2006.0,6.0,0.0,34.0,0.0,17.0,69.5,77.7,20.3,19.0,0.0,0.0,0.0,243.5
Haryana,Kaithal,2007.0,N.A.,N.A.,N.A.,N.A.,N.A.,60.5,52.5,53.0,62.7,0.0,0.0,0.0,N.A.
Haryana,Kaithal,2008.0,N.A.,N.A.,N.A.,N.A.,N.A.,196.0,38.0,107.0,206.5,0.0,0.0,0.0,N.A.
Haryana,Kaithal,2009.0,0.0,0.0,N.A.,13.5,0.0,0.0,116.1,9.2,50.0,0.0,0.0,0.0,188.8
Haryana,Kaithal,2010.0,2.0,1.7,0.0,0.0,1.3,34.0,187.9,143.7,177.7,0.0,0.0,19.2,567.5
Haryana,Karnal,2004.0,65.4,0.0,0.0,32.6,78.4,49.2,17.5,282.9,58.6,41.2,0.0,4.5,630.3
Haryana,Karnal,2005.0,37.2,34.3,36.2,0.8,23.6,85.9,74.9,59.3,210.3,0.0,0.0,0.0,562.5
Haryana,Karnal,2006.0,2.4,5.0,36.3,0.0,29.9,77.6,117.4,9.5,36.3,7.2,13.2,5.2,340.0
Haryana,Karnal,2007.0,15.5,196.8,60.0,0.0,3.6,130.1,74.6,138.6,109.9,0.0,1.2,1.4,731.7
Haryana,Karnal,2008.0,1.4,2.4,0.0,15.6,71.7,155.0,103.7,146.4,109.1,1.2,7.1,0.0,613.6
Haryana,Karnal,2009.0,7.5,5.5,3.7,19.0,12.7,16.2,83.7,65.6,271.7,0.0,0.0,0.0,485.6
Haryana,Karnal,2010.0,5.5,11.5,0.0,2.5,6.2,29.3,280.5,249.2,276.0,0.0,0.0,16.1,876.8
Haryana,Kurukshetra,2004.0,62.6,0.0,0.0,45.5,14.0,72.5,19.0,264.0,51.0,31.0,0.0,5.0,564.6
Haryana,Kurukshetra,2005.0,36.0,32.5,57.0,0.0,9.0,96.5,53.3,118.5,152.0,0.0,0.0,0.0,554.8
Haryana,Kurukshetra,2006.0,2.0,0.0,26.5,0.0,20.8,52.0,96.5,14.0,24.0,2.0,0.0,4.0,241.8
Haryana,Kurukshetra,2007.0,0.0,104.0,47.0,2.0,20.0,59.5,76.5,31.5,14.5,0.0,0.0,0.0,355.0
Haryana,Kurukshetra,2008.0,N.A.,N.A.,N.A.,N.A.,N.A.,33.0,39.8,76.8,96.8,0.0,1.5,0.0,N.A.
Haryana,Kurukshetra,2009.0,0.0,5.5,1.0,12.3,0.0,11.3,68.3,30.3,123.7,0.0,0.0,0.0,252.4
Haryana,Kurukshetra,2010.0,0.0,3.0,0.0,0.0,11.0,26.5,225.1,65.5,105.2,0.0,0.0,22.3,458.6
Haryana,Mahendragarh,2004.0,2.9,0.0,0.0,13.0,11.8,7.4,5.9,172.9,0.0,50.5,0.0,0.0,264.4
Haryana,Mahendragarh,2005.0,6.2,29.3,6.5,0.0,0.7,111.5,64.2,19.0,85.7,0.0,0.0,0.0,323.1
Haryana,Mahendragarh,2006.0,0.0,0.0,15.6,0.0,2.1,11.8,104.4,7.1,15.3,7.3,0.0,7.3,170.9
Haryana,Mahendragarh,2007.0,6.8,86.3,13.5,0.0,16.0,117.0,45.0,104.2,64.1,0.0,0.0,2.5,455.4
Haryana,Mahendragarh,2008.0,0.0,0.0,0.0,30.0,133.5,266.0,121.0,140.8,133.9,0.0,2.3,0.0,827.5
Haryana,Mahendragarh,2009.0,2.0,0.0,9.0,0.0,14.0,47.6,51.1,68.4,84.8,0.0,0.0,0.0,276.9
Haryana,Mahendragarh,2010.0,0.0,9.0,0.0,0.0,0.0,8.0,121.1,197.1,163.2,0.0,23.7,0.0,522.1
Haryana,Panchkula,2004.0,98.7,0.0,0.0,0.0,6.0,18.0,101.0,467.5,123.0,97.0,0.0,0.0,911.2
Haryana,Panchkula,2005.0,N.A.,25.0,45.0,10.0,0.0,5.0,360.0,199.4,95.0,0.0,0.0,0.0,N.A.
Haryana,Panchkula,2006.0,12.0,0.0,75.0,0.0,54.0,61.8,207.0,250.0,93.0,0.0,0.0,5.0,757.8
