State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Chhattisgarh,Raigarh,2004.0,18.8,0.0,0.0,0.0,0.0,168.5,289.2,474.8,61.9,36.6,0.0,0.0,1049.8
Chhattisgarh,Raigarh,2005.0,37.5,8.2,0.0,0.0,0.0,277.1,427.6,310.4,121.6,64.4,0.0,0.0,1246.8
Chhattisgarh,Raigarh,2006.0,0.0,0.0,0.0,0.0,91.2,117.5,308.2,430.6,110.2,26.1,5.3,0.0,1089.1
Chhattisgarh,Raigarh,2007.0,0.0,35.2,17.2,0.0,29.6,233.1,342.3,318.2,239.5,40.1,36.6,0.0,1291.8
Chhattisgarh,Raigarh,2008.0,22.4,21.3,27.8,31.5,2.3,256.7,298.1,586.5,261.5,5.8,0.0,0.0,1513.9
Chhattisgarh,Raigarh,2009.0,0.0,0.0,0.0,0.0,0.0,15.3,650.4,194.8,92.2,25.5,0.0,0.0,978.2
Chhattisgarh,Raigarh,2010.0,0.0,0.0,0.0,0.0,0.0,117.1,319.5,251.4,251.2,21.3,7.3,20.5,988.3
Chhattisgarh,Raipur,2004.0,36.7,32.4,10.9,11.7,24.0,217.3,341.5,143.0,86.6,35.1,0.0,0.0,939.2
Chhattisgarh,Raipur,2005.0,68.6,25.0,0.9,2.4,25.9,155.9,493.5,255.3,229.3,91.2,0.0,0.0,1348.0
Chhattisgarh,Raipur,2006.0,0.0,0.0,35.6,31.2,72.0,59.6,384.5,430.5,177.5,14.4,1.4,0.0,1206.7
Chhattisgarh,Raipur,2007.0,0.0,19.5,0.2,0.2,4.1,525.2,320.1,284.6,238.0,28.3,14.0,0.0,1434.2
Chhattisgarh,Raipur,2008.0,6.5,10.1,2.6,1.0,5.8,262.8,233.1,279.5,289.7,23.4,0.0,0.0,1114.5
Chhattisgarh,Raipur,2009.0,0.0,0.0,0.0,2.1,4.9,25.8,571.8,246.4,66.4,20.1,10.5,0.3,948.3
Chhattisgarh,Raipur,2010.0,3.4,1.0,0.0,1.7,5.0,53.8,462.4,225.0,273.8,47.7,23.3,12.0,1109.1
Chhattisgarh,Rajnandgaon,2004.0,18.5,36.0,4.1,0.0,0.0,247.5,379.7,202.2,111.6,23.5,0.0,0.0,1023.1
Chhattisgarh,Rajnandgaon,2005.0,164.1,17.6,5.8,0.0,0.0,204.5,366.0,344.4,389.7,76.7,0.0,0.0,1568.8
Chhattisgarh,Rajnandgaon,2006.0,0.0,0.0,36.0,12.0,0.0,65.5,323.9,530.5,154.2,5.5,0.0,0.0,1127.6
Chhattisgarh,Rajnandgaon,2007.0,0.0,16.9,0.0,0.0,6.0,159.5,125.3,300.6,110.2,24.7,26.6,0.0,769.8
Chhattisgarh,Rajnandgaon,2008.0,8.4,15.4,45.0,0.2,9.3,87.0,181.0,239.8,225.4,1.2,0.0,0.0,812.7
Chhattisgarh,Rajnandgaon,2009.0,0.0,0.0,0.0,2.2,2.9,38.3,430.9,163.0,58.6,16.4,22.0,0.6,734.9
Chhattisgarh,Rajnandgaon,2010.0,3.8,1.5,0.0,0.0,1.4,149.4,438.0,309.1,269.4,24.8,8.0,16.5,1221.9
Chhattisgarh,Surguja,2004.0,27.2,2.0,0.0,14.7,14.5,105.4,378.6,271.0,109.2,49.0,0.0,0.0,971.6
Chhattisgarh,Surguja,2005.0,59.3,61.0,7.3,5.0,3.8,240.4,218.1,263.6,219.5,42.0,0.0,0.1,1120.1
Chhattisgarh,Surguja,2006.0,0.0,0.0,45.0,17.4,33.7,82.1,391.9,439.3,146.7,25.7,4.5,0.0,1186.3
Chhattisgarh,Surguja,2007.0,0.0,33.2,17.2,8.4,21.1,155.1,354.6,248.1,285.9,29.5,0.3,0.0,1153.4
Chhattisgarh,Surguja,2008.0,8.3,6.9,10.3,25.4,8.9,331.8,359.6,246.0,111.7,9.8,0.9,0.0,1119.6
Chhattisgarh,Surguja,2009.0,5.4,0.0,0.0,0.3,3.5,74.2,234.6,150.0,77.1,19.0,52.7,0.0,616.8
Chhattisgarh,Surguja,2010.0,0.0,10.9,0.0,0.0,9.0,51.6,216.0,102.4,154.3,22.8,6.4,23.3,596.7
