TRDATE,REGION,STATE_NAME,MODE_OF_TRANSPORT,STATION_NAME,UTILITY,SECTOR,CAPACITY,NORMATIVE_STOCKS_REQUIRED_IN_DAYS,DAILY_REQUIREMENT,ACTUAL_STOCK_IMPORT,ACTUAL_STOCK_INDIGENOUS,ACTUAL_STOCK_TOTAL,ACTUAL_STOCK_DAYS,CRITICAL,SUPERCRITICAL,REMARKS
10-Jul-15,WESTERN,MADHYA PRADESH,RAIL,SHRI SINGHAJI TPP,M. P. POWER GENERATING CORPORATION LIMITED,STATE,"1,200",20,5,9,194,203,42,NULL,NULL,NA
10-Jul-15,WESTERN,MADHYA PRADESH,RAIL,SATPURA TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,"1,330",20,10,25,293,318,33,NULL,NULL,NA
10-Jul-15,WESTERN,MADHYA PRADESH,RAIL,SANJAY GANDHI TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,"1,340",20,9,0,307,307,33,NULL,NULL,NA
10-Jul-15,WESTERN,MADHYA PRADESH,RAIL,BINA TPS,JAI PRAKASH POWER VENTURE LTD.,IPP,500,25,5,27,427,453,88,NULL,NULL,NA
10-Jul-15,WESTERN,MADHYA PRADESH,PITHEAD,VINDHYACHAL STPS,NTPC LIMITED.,CENTRAL,"4,760",15,54,602,"1,063","1,666",31,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,AMARAVATI TPS,INDIABULLS POWER LTD.,IPP,"1,350",20,12,0,0,0,0,Critical,SuperCritical,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,EMCO WARORA TPS,EMCO ENERGY LTD,IPP,600,20,8,6,9,15,2,Critical,SuperCritical,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,BUTIBORI TPP,Vidarbha Industries Power Ltd.,IPP,600,20,8,38,129,167,22,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,KORADI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,700",25,6,0,185,185,31,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,PARAS TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,500,25,9,0,193,193,22,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,KHAPARKHEDA TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,340",25,17,5,198,203,12,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,TIRORA TPS,ADANI POWER LTD.,IPP,"3,300",20,29,116,207,322,11,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,DAHANU TPS,RELIANCE INFRASTRUCTURE LTD.,PRIVATE,500,25,8,238,210,448,60,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,BHUSAWAL TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,420",20,11,99,243,342,31,NULL,NULL,NA
10-Jul-15,WESTERN,MAHARASHTRA,RAIL,PARLI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,"1,130",25,5,0,246,246,45,NULL,NULL,NA
