Date,Region,Station Name,Mode of Transport,Station Name,Utility,Sector,Capacity,Normative Stocks Required (In Days),Daily Requirement,Actual Stock - Import,Actual Stock - Indigenous,Actual Stock - Total,Actual Stock - Days,Critical,Super Critical,Remarks
09-06-2008,EASTERN,WEST BENGAL,RAIL,SANTALDIH TPS,WEST BENGAL POWER DEVELOPMENT CORP. LIMITED,STATE,980,20,5.7,0,53.03,53.03,9,NA,NA,NA
09-06-2008,EASTERN,WEST BENGAL,RAIL,BUDGE BUDGE TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,750,20,7.3,0,69.95,69.95,10,NA,NA,NA
09-06-2008,EASTERN,WEST BENGAL,RAIL,NEW COSSIPORE TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,160,20,1.3,0,5.9,5.9,4,Critical,NA,NA
09-06-2008,EASTERN,WEST BENGAL,RAIL,SOUTHERN REPL. TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,135,25,1.8,0,33.24,33.24,18,NA,NA,NA
09-06-2008,EASTERN,WEST BENGAL,RAIL,TITAGARH TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,240,20,3.7,0,34.24,34.24,9,NA,NA,NA
09-06-2008,EASTERN,WEST BENGAL,PITHEAD,FARAKKA STPS,NTPC LIMITED.,CENTRAL,2100,15,33.3,0,0,0,0,Critical,Super Critical,NA
10-06-2008,NORTHERN,DELHI,RAIL,I.P.  T.P.S.,INDRAPRASTHA  POWER GENERATION COMPANY LIMITED,STATE,247.5,25,2.7,0,20.56,20.56,8,NA,NA,NA
10-06-2008,NORTHERN,DELHI,RAIL,RAJGHAT TPS,INDRAPRASTHA  POWER GENERATION COMPANY LIMITED,STATE,135,25,2.3,0,39.92,39.92,17,NA,NA,NA
10-06-2008,NORTHERN,HARYANA,RAIL,FARIDABAD TPS.,HARYANA POWER  GENERATION CORPORATION LIMITED,STATE,55,25,2.8,0,79.01,79.01,28,NA,NA,NA
10-06-2008,NORTHERN,HARYANA,RAIL,PANIPAT TPS,HARYANA POWER  GENERATION CORPORATION LIMITED,STATE,1360,25,21.8,0,209.78,209.78,10,NA,NA,NA
10-06-2008,NORTHERN,HARYANA,RAIL,YAMUNA NAGAR TPS,HARYANA POWER  GENERATION CORPORATION LIMITED,STATE,600,25,8.3,0,119.54,119.54,14,NA,NA,NA
10-06-2008,NORTHERN,PUNJAB,RAIL,GH TPS (LEH.MOH.),PUNJAB STATE POWER CORP. LTD.,STATE,920,30,12.7,0,122.83,122.83,10,NA,NA,NA
10-06-2008,NORTHERN,PUNJAB,RAIL,GND TPS(BHATINDA),PUNJAB STATE POWER CORP. LTD.,STATE,440,30,6,0,136.09,136.09,23,NA,NA,NA
10-06-2008,NORTHERN,PUNJAB,RAIL,ROPAR TPS,PUNJAB STATE POWER CORP. LTD.,STATE,1260,30,20,0,339.93,339.93,17,NA,NA,NA
10-06-2008,NORTHERN,RAJASTHAN,RAIL,KOTA TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1240,30,19.7,0,227.43,227.43,12,NA,NA,NA
10-06-2008,NORTHERN,RAJASTHAN,RAIL,SURATGARH TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1500,30,20.3,0,114.75,114.75,6,Critical,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,PITHEAD,ANPARA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1630,15,22.2,0,274.13,274.13,12,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,HARDUAGANJ TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,665,25,2.7,0,18.52,18.52,7,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,OBRA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1278,20,15,0,139.58,139.58,9,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,PANKI TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,210,30,4,0,49.52,49.52,12,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,PARICHHA TPS,UTTAR PRADESH RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1140,30,10.3,0,112.46,112.46,11,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,DADRI (NCTPP),NTPC LIMITED.,CENTRAL,1820,30,13.3,0,152.61,152.61,11,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,PITHEAD,RIHAND STPS,NTPC LIMITED.,CENTRAL,3000,15,26.2,0,244.69,244.69,9,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,PITHEAD,SINGRAULI STPS,NTPC LIMITED.,CENTRAL,2000,15,25,0,298.25,298.25,12,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,TANDA TPS,NTPC LIMITED.,CENTRAL,440,25,7.3,0,167.97,167.97,23,NA,NA,NA
10-06-2008,NORTHERN,UTTAR PRADESH,RAIL,UNCHAHAR TPS,NTPC LIMITED.,CENTRAL,1050,25,19,0,93.75,93.75,5,Critical,NA,NA
10-06-2008,WESTERN,CHHATTISGARH,RAIL,DSPM TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,500,15,7.3,0,39.63,39.63,5,Critical,NA,NA
10-06-2008,WESTERN,CHHATTISGARH,PITHEAD,KORBA-II,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,440,15,6.7,0,121.02,121.02,18,NA,NA,NA
10-06-2008,WESTERN,CHHATTISGARH,PITHEAD,KORBA-WEST TPS,CHHATTISGARH STATE POWER GENERATION CO. LTD.,STATE,1340,15,13.3,0,129.81,129.81,10,NA,NA,NA
10-06-2008,WESTERN,CHHATTISGARH,PITHEAD,KORBA STPS,NTPC LIMITED.,CENTRAL,2600,15,32.7,0,326.85,326.85,10,NA,NA,NA
10-06-2008,WESTERN,CHHATTISGARH,RAIL,SIPAT STPS,NTPC LIMITED.,CENTRAL,2980,20,6.7,0,219.96,219.96,33,NA,NA,NA
10-06-2008,WESTERN,GUJARAT,RAIL,GANDHI NAGAR TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,870,30,13.3,20.73,36.87,57.59,4,Critical,NA,NA
10-06-2008,WESTERN,GUJARAT,RAIL,SIKKA REP. TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,240,30,3.3,7.49,16.76,24.26,7,NA,NA,NA
10-06-2008,WESTERN,GUJARAT,RAIL,UKAI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,1350,30,11.7,0,176.22,176.22,15,NA,NA,NA
10-06-2008,WESTERN,GUJARAT,RAIL,WANAKBORI TPS,GUJARAT STATE ELECTRICITY CORPORATION LIMITED,STATE,1470,30,26,0,83.27,83.27,3,Critical,Super Critical,NA
10-06-2008,WESTERN,GUJARAT,RAIL,SABARMATI (C STATION),TORRENT POWER LTD,PRIVATE,400,30,5.7,0,77.9,77.9,14,NA,NA,NA
10-06-2008,WESTERN,MADHYA PRADESH,PITHEAD,AMAR KANTAK,M. P. POWER GENERATING CORPORATION LIMITED,STATE,490,15,4,0,91,91,23,NA,NA,NA
10-06-2008,WESTERN,MADHYA PRADESH,RAIL,SANJAY GANDHI TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,1340,20,17.7,0,55.2,55.2,3,Critical,Super Critical,NA
10-06-2008,WESTERN,MADHYA PRADESH,PITHEAD,SATPURA TPS,M. P. POWER GENERATING CORPORATION LIMITED,STATE,1330,20,19.2,0,101,101,5,Critical,NA,NA
10-06-2008,WESTERN,MADHYA PRADESH,PITHEAD,VINDHYACHAL STPS,NTPC LIMITED.,CENTRAL,4260,15,41.9,0,198.39,198.39,5,Critical,NA,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,BHUSAWAL TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1420,25,7.7,0,9.22,9.22,1,Critical,Super Critical,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,CHANDRAPUR(MAHARASHTRA) STPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,2340,20,41.3,0,84.3,84.3,2,Critical,Super Critical,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,KHAPARKHEDA TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1340,20,15,0,27.99,27.99,2,Critical,Super Critical,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,KORADI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1040,25,16.8,0,153.35,153.35,9,NA,NA,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,NASIK TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,630,25,13.3,0,70.69,70.69,5,Critical,NA,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,PARLI TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,1130,25,16.6,0,87.72,87.72,5,Critical,NA,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,PARAS TPS,MAHARASHTRA STATE POWER GENERATION COMPANY LIMITED,STATE,500,20,4.3,0,36.71,36.71,8,NA,NA,NA
10-06-2008,WESTERN,MAHARASHTRA,RAIL,DAHANU TPS,RELIANCE INFRASTRUCTURE LTD.,PRIVATE,500,25,10,34.25,14.26,48.51,5,Critical,NA,NA
10-06-2008,SOUTHERN,ANDHRA PRADESH,RAIL,Dr. N.TATA RAO TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1760,25,21.7,0,89.36,89.36,4,Critical,NA,NA
10-06-2008,SOUTHERN,ANDHRA PRADESH,RAIL,KOTHAGUDEM TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1720,20,15.8,0,25.62,25.62,2,Critical,Super Critical,NA
10-06-2008,SOUTHERN,ANDHRA PRADESH,ROAD,RAMAGUNDEM - B TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,62.5,20,1,0,17.81,17.81,18,NA,NA,NA
10-06-2008,SOUTHERN,ANDHRA PRADESH,RAIL,RAYALASEEMA TPS,ANDHRA PRADESH POWER GENERATION CORP. LIMITED.,STATE,1050,25,15.8,0,5.51,5.51,0,Critical,Super Critical,NA
10-06-2008,SOUTHERN,ANDHRA PRADESH,PITHEAD,RAMAGUNDEM STPS,NTPC LIMITED.,CENTRAL,2600,15,40,0,101.36,101.36,3,Critical,Super Critical,NA
10-06-2008,SOUTHERN,ANDHRA PRADESH,RAIL,SIMHADRI,NTPC LIMITED.,CENTRAL,2000,25,20,0,137.8,137.8,7,NA,NA,NA
10-06-2008,SOUTHERN,KARNATAKA,RAIL,RAICHUR TPS,KARNATAKA POWER CORPORATION LIMITED,STATE,1720,30,28.3,0,67.81,67.81,2,Critical,Super Critical,NA
10-06-2008,SOUTHERN,TAMIL NADU,INTER MODAL,ENNORE TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,450,30,7.7,0,23.7,23.7,3,Critical,Super Critical,NA
10-06-2008,SOUTHERN,TAMIL NADU,INTER MODAL,METTUR TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1440,30,14,14.27,49.62,63.89,5,Critical,NA,NA
10-06-2008,SOUTHERN,TAMIL NADU,INTER MODAL,NORTH CHENNAI TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1830,30,10.3,26.16,37.07,63.23,6,Critical,NA,NA
10-06-2008,SOUTHERN,TAMIL NADU,INTER MODAL,TUTICORIN TPS,TAMIL NADU GENERATION & DISTRIBUTION CORP. LTD.,STATE,1050,30,19,73.19,91.14,164.33,9,NA,NA,NA
10-06-2008,EASTERN,BIHAR,RAIL,BARAUNI TPS,BIHAR STATE ELECTRICITY BOARD,STATE,210,20,1.2,0,17.97,17.97,15,NA,NA,NA
