Date,Region,Station Name,Mode of Transport,Station Name,Utility,Sector,Capacity,Normative Stocks Required (In Days),Daily Requirement,Actual Stock - Import,Actual Stock - Indigenous,Actual Stock - Total,Actual Stock - Days,Critical,Super Critical,Remarks
22-05-2008,EASTERN,WEST BENGAL,RAIL,MEJIA TPS,DAMODAR VALLEY CORPORATION,CENTRAL,2340,20,19.4,0,11.67,11.67,1,Critical,Super Critical,NA
22-05-2008,EASTERN,WEST BENGAL,RAIL,BUDGE BUDGE TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,750,20,7.1,0,66.65,66.65,9,NA,NA,NA
22-05-2008,EASTERN,WEST BENGAL,RAIL,NEW COSSIPORE TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,160,20,1.3,0,13.79,13.79,11,NA,NA,NA
22-05-2008,EASTERN,WEST BENGAL,RAIL,SOUTHERN REPL. TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,135,25,1.8,0,36.24,36.24,20,NA,NA,NA
22-05-2008,EASTERN,WEST BENGAL,RAIL,TITAGARH TPS,CALCUTTA ELECTRIC SUPPLY CO. LTD.,PRIVATE,240,20,3.6,0,38.43,38.43,11,NA,NA,NA
22-05-2008,EASTERN,WEST BENGAL,PITHEAD,FARAKKA STPS,NTPC LIMITED.,CENTRAL,2100,15,32.3,0,9.08,9.08,0,Critical,Super Critical,NA
23-05-2008,NORTHERN,DELHI,RAIL,I.P.  T.P.S.,INDRAPRASTHA  POWER GENERATION COMPANY LIMITED,STATE,247.5,25,2.6,0,12.63,12.63,5,Critical,NA,NA
23-05-2008,NORTHERN,DELHI,RAIL,RAJGHAT TPS,INDRAPRASTHA  POWER GENERATION COMPANY LIMITED,STATE,135,25,2.3,0,49.34,49.34,22,NA,NA,NA
23-05-2008,NORTHERN,RAJASTHAN,RAIL,KOTA TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1240,30,19,0,212.74,212.74,11,NA,NA,NA
23-05-2008,NORTHERN,RAJASTHAN,RAIL,SURATGARH TPS,RAJASTHAN RAJYA VIDYUT UTPADAN NIGAM LIMITED,STATE,1500,30,19.7,0,111.98,111.98,6,Critical,NA,NA
