REGION ID,MONTH,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED CAPACITY,PROGRAM GENERATION,ACTUAL GENERATION,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,IBPL,NASIK (P) TPS,270.00,0,0,,,,,,,,
REG4,APR-2014,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,NTPCIR,NABI NAGAR TPP,0.00,0,0,,,,,,,,
REG5,APR-2014,NORTH EASTERN,TRIPURA,CENTRAL,THERMAL,GAS,NEEPCO.,MONARCHAK CCPP,0.00,0,0,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,ACB,CHAKABURA TPP,30.00,0,17.57,,,,,,,,
REG2,APR-2014,WESTERN,MADHYA PRADESH,PRIVATE IPP,THERMAL,COAL,RPL,SASAN UMTPP,1980.00,238,1007.73,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,WPCL,AKALTARA TPS,600.00,216,278.7,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,CENTRAL,THERMAL,COAL,NTPC Ltd.,MAUDA TPS,1000.00,308,380.17,,,,,,,,
REG1,APR-2014,NORTHERN,PUNJAB,PRIVATE IPP,THERMAL,COAL,NPL,RAJPURA TPP,700.00,186,382.34,,,,,,,,
REG3,APR-2014,SOUTHERN,KERALA,PRIVATE IPP,THERMAL,NAPTHA,BSES(C),COCHIN CCPP (Liq.),174.00,8,109.15,,,,,,,,
REG4,APR-2014,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,DPL,D.P.L. TPS,880.00,170,145.04,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,PRIVATE,THERMAL,COAL,RIL (DAHANU),DAHANU TPS,500.00,360,373.19,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,CENTRAL,NUCLEAR,NUCLEAR,NPC,KAKRAPARA,440.00,135,190.69,,,,,,,,
REG1,APR-2014,NORTHERN,RAJASTHAN,STATE,THERMAL,COAL,RRVUNL,KOTA TPS,1240.00,754,843.12,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,STATE,THERMAL,LIGNITE,GSECL,KUTCH LIG. TPS,290.00,123,158.13,,,,,,,,
REG5,APR-2014,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,KYRDEMKULAI  HPS.,60.00,7,4.15,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR RBC   HPS,90.00,2,0,,,,,,,,
REG5,APR-2014,NORTH EASTERN,ASSAM,STATE,THERMAL,GAS,APGPCL,NAMRUP CCPP,95.00,37,44.14,,,,,,,,
REG5,APR-2014,NORTH EASTERN,ASSAM,STATE,THERMAL,GAS,APGPCL,NAMRUP ST,24.00,5,7.83,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,PARLI TPS,1130.00,265,446.03,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,LIGNITE,NLC,NEYVELI ( EXT) TPS,420.00,272,285.67,,,,,,,,
REG5,APR-2014,NORTH EASTERN,MANIPUR,STATE,THERMAL,DIESEL,"ED, Manipur",LEIMAKHONG DG,36.00,0,0,,,,,,,,
REG5,APR-2014,NORTH EASTERN,MANIPUR,CENTRAL,HYDRO,HYDRO,NHPC,LOKTAK  HPS.,105.00,25,16.35,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,ALIYAR  HPS.,60.00,10,10.3,,,,,,,,
REG1,APR-2014,NORTHERN,PUNJAB,STATE,HYDRO,HYDRO,PSPCL,ANANDPUR SAHIB HPS,134.00,26,15.88,,,,,,,,
REG1,APR-2014,NORTHERN,PUNJAB,STATE,THERMAL,COAL,PSPCL,ROPAR TPS,1260.00,641,490.82,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,BSES(P),PEDDAPURAM CCPP,220.00,35,0,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,CENTRAL,THERMAL,GAS,NTPC Ltd.,GANDHAR CCPP,657.39,133,188.63,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,PRIVATE,HYDRO,HYDRO,TATA MAH.,BHIVPURI  HPS,75.00,28,34.33,,,,,,,,
REG4,APR-2014,EASTERN,WEST BENGAL,PRIVATE,THERMAL,COAL,CESC,TITAGARH TPS,240.00,157,167.38,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,PRIVATE,THERMAL,COAL,TATA PCL,TROMBAY TPS,1400.00,501,426.26,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,STATE,THERMAL,COAL,GSECL,UKAI TPS,1350.00,539,613.88,,,,,,,,
REG5,APR-2014,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,UMIAM HPS ST-IV,60.00,6,5.85,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,Dr. N.TATA RAO TPS,1760.00,1114,1135.6,,,,,,,,
REG1,APR-2014,NORTHERN,DELHI,STATE,THERMAL,COAL,IPGPCL,RAJGHAT TPS,135.00,21,35.63,,,,,,,,
REG2,APR-2014,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,RAJGHAT  HPS,45.00,0,0,,,,,,,,
REG1,APR-2014,NORTHERN,HARYANA,CENTRAL,THERMAL,GAS,NTPC Ltd.,FARIDABAD CCPP,431.59,141,176.54,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,PRIYADARSHNI  JURALA  HPS,234.00,0,0,,,,,,,,
REG4,APR-2014,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,SANTALDIH TPS,980.00,263,202.17,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,CENTRAL,NUCLEAR,NUCLEAR,NPC,TARAPUR,1400.00,806,928.09,,,,,,,,
REG5,APR-2014,NORTH EASTERN,ASSAM,STATE,HYDRO,HYDRO,APGPCL,KARBI LANGPI  HPS.,100.00,9,8.23,,,,,,,,
REG1,APR-2014,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,THDC,TEHRI ST-1  HPS,1000.00,218,235.17,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,GAS,PPNPGCL,P.NALLUR CCPP,330.50,80,227.93,,,,,,,,
REG4,APR-2014,EASTERN,ANDAMAN NICOBAR,STATE,THERMAL,DIESEL,A&N ADM,AND. NICOBAR DG,40.05,12,12.6,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,COAL,APL,MUNDRA TPS,4620.00,2553,2818.7,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,TOR. POW. (SUGEN),SUGEN CCPP,1147.50,60,205.62,,,,,,,,
REG1,APR-2014,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,SEWA-II  HPS,120.00,69,92.16,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,HAMPI  HPS,36.00,2,0,,,,,,,,
REG1,APR-2014,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,HARDUAGANJ TPS,665.00,316,273.1,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,STATE,HYDRO,HYDRO,CSPGCL,HASDEOBANGO  HPS,120.00,10,8.65,,,,,,,,
REG4,APR-2014,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,UPPER KOLAB  HPS.,320.00,64,83.25,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,STATE,HYDRO,HYDRO,MAHAGENCO,GHATGHAR  PSS  HPS,250.00,35,20.54,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,LIGNITE,NLC,NEYVELI TPS-II EXP,250.00,86,3.45,,,,,,,,
REG3,APR-2014,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,KUTTIYADI ADDL. EXTN.,100.00,0,6.65,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR  TPD,0.00,0,0,,,,,,,,
REG1,APR-2014,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCGT-III,1500.00,56,4.5,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,CENTRAL,NUCLEAR,NUCLEAR,NPC,KUNDAKULLAM,0.00,0,0,,,,,,,,
REG1,APR-2014,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,LGPPL,BUDHIL HPS,70.00,15,13.15,,,,,,,,
REG1,APR-2014,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,SJVNL,RAMPUR HPS,137.34,0,27.85,,,,,,,,
REG5,APR-2014,NORTH EASTERN,TRIPURA,CENTRAL,THERMAL,GAS,ONGC,TRIPURA CCPP,363.30,0,216.45,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,JPL,TAMNAR TPP,1200.00,216,109.06,,,,,,,,
REG5,APR-2014,NORTH EASTERN,MEGHALAYA,STATE,HYDRO,HYDRO,MeECL,NEW UMTRU,0.00,0,0,,,,,,,,
REG1,APR-2014,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,BEPL,KUNDARKI TPS,90.00,44,49.55,,,,,,,,
REG1,APR-2014,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,BEPL,MAQSOODPUR TPS,90.00,44,51.87,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,VESPL,KATGHORA TPP,35.00,0,0,,,,,,,,
REG1,APR-2014,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,PARBATI-III HPS,390.00,43,30.43,,,,,,,,
REG4,APR-2014,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,GMR ENERG,KAMALANGA TPS,1050.00,252,281.36,,,,,,,,
REG1,APR-2014,NORTHERN,UTTAR PRADESH,PRIVATE IPP,THERMAL,COAL,BEPL,BARKHERA TPS,90.00,44,51.25,,,,,,,,
REG2,APR-2014,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,BANSAGAR TONS-1  HPS,315.00,35,149.51,,,,,,,,
REG2,APR-2014,WESTERN,MADHYA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,VINDHYACHAL STPS,4260.00,2355,2848.94,,,,,,,,
REG1,APR-2014,NORTHERN,HIMACHAL PRADESH,PRIVATE IPP,HYDRO,HYDRO,JHPL,BASPA  HPS,300.00,47,39.57,,,,,,,,
REG1,APR-2014,NORTHERN,RAJASTHAN,STATE,THERMAL,GAS,RRVUNL,DHOLPUR CCPP,330.00,41,92.32,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,LOWER SILERU  HPS,460.00,93,134.84,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,KORADI TPS,1040.00,222,189.48,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,KUNDAH  HPS.,555.00,130,157.57,,,,,,,,
REG3,APR-2014,SOUTHERN,KARNATAKA,PRIVATE IPP,THERMAL,DIESEL,BELLARY,BELLARY DG,25.20,0,0,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR  LBC  HPS,60.00,1,0,,,,,,,,
REG3,APR-2014,SOUTHERN,KARNATAKA,CENTRAL,NUCLEAR,NUCLEAR,NPC,KAIGA,880.00,489,455.49,,,,,,,,
REG1,APR-2014,NORTHERN,HIMACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NHPC,BAIRA SIUL  HPS,180.00,75,92.39,,,,,,,,
REG5,APR-2014,NORTH EASTERN,NAGALAND,CENTRAL,HYDRO,HYDRO,NEEPCO.,DOYANG  HPS.,75.00,5,3.72,,,,,,,,
REG4,APR-2014,EASTERN,ORISSA,STATE,HYDRO,HYDRO,OHPC,HIRAKUD HPS,347.50,38,66,,,,,,,,
REG4,APR-2014,EASTERN,ORISSA,STATE,THERMAL,COAL,OPGC,IB VALLEY TPS,420.00,270,276.44,,,,,,,,
REG1,APR-2014,NORTHERN,DELHI,STATE,THERMAL,GAS,IPGPCL,PRAGATI CCPP,330.40,85,107.3,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,STATE,HYDRO,HYDRO,SSNNL,S SAROVAR RBPH  HPS,1200.00,81,203.51,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,PRIVATE IPP,THERMAL,DIESEL,MADURAI P,SAMAYANALLUR DG,106.00,30,58.89,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,GAS,GIPCL,BARODA CCPP,160.00,12,.94,,,,,,,,
REG2,APR-2014,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,SATPURA TPS,1392.50,474,467.26,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,SIMHADRI,2000.00,1238,1457.65,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,GMR ENERG,GMR Energy Ltd - Kakinada,220.00,0,0,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,SPGL,GODAVARI CCPP,208.00,75,71.78,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,PRIVATE IPP,THERMAL,GAS,KONDAPALI,KONDAPALLI  EXTN CCPP .,366.00,0,0,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,LANCO,PATHADI TPP,600.00,194,207.84,,,,,,,,
REG1,APR-2014,NORTHERN,HIMACHAL PRADESH,STATE,HYDRO,HYDRO,HPSEB,GIRI BATA HPS,60.00,4,19.18,,,,,,,,
REG1,APR-2014,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URI-I HPS,480.00,270,344.47,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,PARSON`S VALLEY  HPS.,30.00,3,5.47,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,POCHAMPAD  HPS,27.00,1,6.62,,,,,,,,
REG5,APR-2014,NORTH EASTERN,MEGHALAYA,CENTRAL,HYDRO,HYDRO,NEEPCO.,KHONDONG  HPS.,50.00,4,0,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,KAKATIYA TPS,500.00,317,354.31,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,THERMAL,COAL,APGENCO,KOTHAGUDEM TPS (NEW),1000.00,600,645.41,,,,,,,,
REG1,APR-2014,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,THDC,KOTESHWAR HPS,400.00,102,105.11,,,,,,,,
REG4,APR-2014,EASTERN,SIKKIM,PRIVATE IPP,HYDRO,HYDRO,GIL,CHUZACHEN HPS,99.00,30,16.02,,,,,,,,
REG4,APR-2014,EASTERN,ORISSA,PRIVATE IPP,THERMAL,COAL,SEL,STERLITE TPP,2400.00,700,870.2,,,,,,,,
REG3,APR-2014,SOUTHERN,KARNATAKA,PRIVATE IPP,THERMAL,COAL,UPCL,UDUPI TPP,1200.00,693,687.56,,,,,,,,
REG4,APR-2014,EASTERN,SIKKIM,PRIVATE IPP,HYDRO,HYDRO,TUL,TEESTA-III HPS,0.00,0,0,,,,,,,,
REG4,APR-2014,EASTERN,JHARKHAND,PRIVATE IPP,THERMAL,COAL,CPL,MAITRISHI USHA TPS,0.00,0,0,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,NAGARJUN SGR RBC EXTN. HPS,0.00,0,0,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,LOWER JURALA HPS,40.00,0,0,,,,,,,,
REG2,APR-2014,WESTERN,CHHATTISGARH,PRIVATE IPP,THERMAL,COAL,SCPL,RATIJA TPS,50.00,21,29.25,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,PRIVATE IPP,THERMAL,THERMAL,TOR. POW. (UNOSUGEN),DGEN MEGA CCPP,800.00,0,0,,,,,,,,
REG2,APR-2014,WESTERN,MAHARASHTRA,PRIVATE IPP,THERMAL,COAL,GEPL,GEPL TPP Ph-I,120.00,0,0,,,,,,,,
REG5,APR-2014,NORTH EASTERN,TRIPURA,STATE,THERMAL,GAS,TSECL,BARAMURA GT,58.50,27,27.13,,,,,,,,
REG3,APR-2014,SOUTHERN,TAMIL NADU,STATE,THERMAL,NAPTHA,TNGDCL,BASIN BRIDGE GT (Liq.),120.00,0,1.86,,,,,,,,
REG4,APR-2014,EASTERN,WEST BENGAL,STATE,HYDRO,HYDRO,WBSEDCL,RAMMAM  HPS.,50.00,8,8.17,,,,,,,,
REG5,APR-2014,NORTH EASTERN,ARUNACHAL PRADESH,CENTRAL,HYDRO,HYDRO,NEEPCO.,RANGANADI  HPS.,405.00,66,40.81,,,,,,,,
REG1,APR-2014,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,CHIBRO (YAMUNA)  HPS,240.00,48,77,,,,,,,,
REG1,APR-2014,NORTHERN,UTTARAKHAND,CENTRAL,HYDRO,HYDRO,NHPC,DHAULI GANGA  HPS,280.00,30,0,,,,,,,,
REG2,APR-2014,WESTERN,GUJARAT,STATE,THERMAL,GAS,GSECL,DHUVARAN CCPP,218.62,23,10.52,,,,,,,,
REG1,APR-2014,NORTHERN,UTTAR PRADESH,STATE,THERMAL,COAL,UPRVUNL,PARICHHA TPS,1140.00,671,491.94,,,,,,,,
REG1,APR-2014,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,KHATIMA  HPS,41.40,10.5,6.71,,,,,,,,
REG3,APR-2014,SOUTHERN,ANDHRA PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,RAMAGUNDEM STPS,2600.00,1758,1875.15,,,,,,,,
REG1,APR-2014,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,RAMGANGA  HPS,198.00,31,.74,,,,,,,,
REG3,APR-2014,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,KODASALI  HPS,120.00,49,41.97,,,,,,,,
REG4,APR-2014,EASTERN,WEST BENGAL,STATE,THERMAL,COAL,WBPDC,KOLAGHAT TPS,1260.00,546,645.96,,,,,,,,
